uid	username	map_id	mods	n320	n300	n200	n100	n50	miss	score_id	lazer
10024264	Tre	4269617	DT	776	50	1	0	0	1	566728369	0
10024264	Tre	3475520		4490	1559	201	39	18	38	563225016	0
10024264	Tre	2536733		1266	141	7	0	0	0	550686408	0
10024264	Tre	1920615		2838	691	56	10	2	11	551195952	0
10024264	Tre	3935573		4314	646	39	4	4	13	564413197	0
10024264	Tre	4435571		2731	1617	239	53	27	62	563852931	0
10024264	Tre	1850934		1899	226	21	9	2	2	550587353	0
10024264	Tre	3012110	DT	2241	899	239	48	19	43	528815068	0
10024264	Tre	3987692		2377	902	200	48	15	63	562638842	0
10024264	Tre	3587731		1569	135	6	3	1	19	563671117	0
10024264	Tre	3989696		1785	718	26	5	3	11	530389654	0
10024264	Tre	4374753		1911	75	0	0	0	0	566381026	0
10024264	Tre	2567925		1579	598	134	22	10	34	529269353	0
10024264	Tre	3797369	HT	2362	796	80	16	9	70	575359651	0
10024264	Tre	1698594		1920	227	25	6	6	2	550588032	0
10024264	Tre	724149		1582	218	13	0	0	0	562128879	0
10024264	Tre	770129		1429	493	149	24	5	20	506476477	0
10024264	Tre	3587545		2942	431	39	13	8	11	567313429	0
1002726	Morbon	767046	DT	2368	1246	185	27	2	25	299078469	0
1002726	Morbon	689769	DT	2015	1028	132	44	1	31	325477210	0
1002726	Morbon	770127		1460	773	169	29	1	29	299077466	0
1002726	Morbon	992512		3826	1742	262	32	2	27	297541960	0
1002726	Morbon	429550	DT	1180	613	107	26	1	12	299181078	0
1002726	Morbon	1001780		1427	654	117	11	0	1	304342426	0
1002726	Morbon	770129		1354	682	67	9	0	8	299179062	0
1002726	Morbon	830047	DT	1301	675	120	19	0	18	299177379	0
1002726	Morbon	1315053		1340	531	53	1	0	3	325475395	0
1002726	Morbon	1101044	DT	2355	1049	99	7	2	13	290367698	0
1002726	Morbon	975667	DT	2113	1302	248	29	0	8	305547424	0
1002726	Morbon	421066		2462	1435	265	45	2	70	295526488	0
1002726	Morbon	985879	DT	1594	603	58	21	2	19	288855918	0
1002726	Morbon	1243559		1329	658	168	16	3	13	328795740	0
1002726	Morbon	963330	DT	2388	1154	177	35	5	30	293240374	0
1002726	Morbon	577429	DT	2404	966	146	35	6	23	293241433	0
1002726	Morbon	2387330	DT	1368	785	108	10	2	14	468064292	0
1002726	Morbon	532796		1481	514	50	7	0	1	302115509	0
1002726	Morbon	450104	DT	757	408	157	33	1	28	299675361	0
1002726	Morbon	1091460	DT	1093	590	153	35	2	14	290367130	0
1002726	Morbon	996296	DT	662	367	82	12	2	15	296300496	0
1002726	Morbon	1181795		2893	1397	96	4	0	5	301918524	0
1002726	Morbon	1408345	DT	1769	908	127	5	1	9	475419246	0
1002726	Morbon	590575	DT	925	317	47	8	1	2	304341566	0
1002726	Morbon	770372	DT	931	367	60	24	3	22	298849028	0
1002726	Morbon	789784		1332	625	57	0	0	4	476084174	0
1002726	Morbon	846927	DT	1638	681	86	8	0	12	305545746	0
1002726	Morbon	983881	DT	1648	882	104	8	2	19	282948093	0
1002726	Morbon	1129049	DT	713	244	19	2	0	0	292929349	0
1002726	Morbon	1066383	DT	2281	1155	292	65	6	38	293243014	0
1002726	Morbon	1087294	DT	958	486	102	15	3	15	288856224	0
1002726	Morbon	784054	DT	840	427	91	22	2	20	293244235	0
1002726	Morbon	1624417		1768	717	85	6	1	3	301137132	0
1002726	Morbon	911602	DT	812	421	59	11	2	10	295527568	0
1002726	Morbon	1245015		1448	477	68	2	0	1	303623426	0
1002726	Morbon	884693	NC	1272	487	23	1	0	4	274635810	0
1002726	Morbon	753769	DT	898	427	84	31	0	24	299178279	0
1002726	Morbon	834370	DT	1079	606	110	15	4	15	275999596	0
1002726	Morbon	1214526		1746	668	75	12	2	5	297009172	0
1002726	Morbon	947015	DT	1552	433	48	2	2	9	301925557	0
1002726	Morbon	2082653	DT	1460	898	156	24	2	10	343035875	0
1002726	Morbon	1263100	DT	1822	1078	310	33	5	33	296087663	0
1002726	Morbon	1033166	DT	1958	900	191	46	7	32	292086068	0
1002726	Morbon	1023071		1197	648	118	18	2	8	469711375	0
1002726	Morbon	1215686	DT	924	526	149	31	2	23	325474827	0
1002726	Morbon	1920615		2218	1236	135	12	4	3	484321366	0
1002726	Morbon	1237220	DT	1081	620	157	50	5	43	299077985	0
1002726	Morbon	847379		2460	982	76	19	0	4	276086034	0
1002726	Morbon	798208	DT	807	436	94	30	5	22	301136615	0
1002726	Morbon	1830039	DT	1012	740	130	19	1	13	343035302	0
1002726	Morbon	1092805		1295	404	40	0	1	1	276083768	0
1002726	Morbon	758198	DT	1015	377	32	6	0	5	271944854	0
1002726	Morbon	905576	DT	2101	962	112	9	0	18	271807340	0
1002726	Morbon	1042788	DT	899	457	91	27	2	27	299174974	0
1002726	Morbon	823842		3090	1997	362	42	5	38	292085269	0
1002726	Morbon	841922	DT	1007	558	46	18	1	34	288855459	0
1002726	Morbon	925360	DT	887	425	96	11	0	16	292085582	0
1002726	Morbon	767311	DT	861	498	135	32	2	26	299178676	0
1002726	Morbon	1014641	SD	1420	658	46	1	0	0	301926287	0
1002726	Morbon	1294900		2410	1048	118	28	3	17	300233430	0
1002726	Morbon	1216881		1142	582	79	10	3	14	275395641	0
1002726	Morbon	1231247	DT	1133	579	102	20	14	16	286909365	0
1002726	Morbon	693320	DT	2099	927	134	9	1	17	276816713	0
1002726	Morbon	724149		1200	532	74	7	0	0	271371454	0
1002726	Morbon	1217803	DT	1708	1207	450	107	12	77	298191244	0
1002726	Morbon	695556	DT	1903	1037	275	38	11	37	296544741	0
1002726	Morbon	674460	DT	2557	1442	260	53	12	65	276819259	0
1002726	Morbon	1482800	NC	805	308	40	3	2	1	303092418	0
1002726	Morbon	1404407	DT	799	308	113	19	2	14	301925747	0
1002726	Morbon	1230814	DT	2324	1478	426	108	13	87	292078310	0
1002726	Morbon	899909	DT	1246	547	124	22	7	24	275999139	0
1002726	Morbon	532798	DT	985	504	166	25	2	27	301757575	0
1002726	Morbon	763657		1200	496	56	6	3	10	263950111	0
1002726	Morbon	911342	DT	1185	490	34	8	0	5	283194630	0
1002726	Morbon	1252228	DT	1705	1206	377	87	22	71	298190217	0
1002726	Morbon	865372	DT	1588	943	215	38	10	57	293244910	0
1002726	Morbon	1021312		1085	702	248	18	6	22	292087283	0
1002726	Morbon	1017266	DT	894	491	105	27	10	37	301922932	0
1002726	Morbon	1041619	DT	1726	1057	183	32	1	27	271947750	0
1002726	Morbon	747621		2347	476	50	6	0	4	274704304	0
1002726	Morbon	825238	DT	811	405	108	14	1	19	276000297	0
1002726	Morbon	678396	DT	1762	735	128	19	4	22	276082681	0
1002726	Morbon	1293172		2958	1754	383	68	18	40	263720900	0
1002726	Morbon	1044811	DT	756	402	114	27	2	15	291665518	0
1002726	Morbon	1055022		1280	465	43	1	0	1	275997628	0
1002726	Morbon	1565693	DT	1493	1145	320	100	4	102	299183322	0
1002726	Morbon	767309	DT	790	417	76	7	0	12	276816242	0
1002726	Morbon	429548		1501	778	149	12	5	15	266196027	0
1002726	Morbon	1040757	DT	1711	898	101	13	1	15	267778390	0
1002726	Morbon	1438046		2678	1604	245	21	8	40	265279912	0
1002726	Morbon	797527		4334	2400	396	18	3	14	305280189	0
1002726	Morbon	649616		1193	613	75	8	7	18	265280150	0
1002726	Morbon	1263478		2025	886	121	12	3	14	300237841	0
1002726	Morbon	713131		1386	716	167	7	1	17	472575967	0
1002726	Morbon	1132009	DT	865	445	47	13	2	16	257490659	0
1002726	Morbon	464291	DT	2072	1318	497	151	4	97	299176713	0
1002726	Morbon	956128	DT	685	324	35	4	0	5	276000662	0
1002726	Morbon	1111350	DT	737	429	93	14	0	5	209055341	0
1002726	Morbon	1148050		1357	576	102	9	4	9	271949812	0
1002726	Morbon	754399	DT	1731	455	30	1	0	9	302128524	0
10028302	Sorc	4312004	HT+MR	3715	3538	834	132	28	126	594852488	0
10028302	Sorc	3976253	HT+MR	4127	3738	722	115	24	27	594850753	0
10028302	Sorc	3497908		2366	884	66	0	0	0	590135187	0
10028302	Sorc	4294726	HT+MR	3215	2518	517	102	32	30	594390581	0
10028302	Sorc	4656541		1301	292	30	6	2	2	591713404	0
10028302	Sorc	4387804	HT	1679	1038	105	18	9	10	592661381	0
10028302	Sorc	2749117	MR	1562	955	147	18	3	10	594512176	0
10028302	Sorc	4311938	HT+MR	1499	1331	242	29	2	24	594854969	0
10028302	Sorc	4133548	MR	1845	939	140	24	9	17	593723208	0
10028302	Sorc	992512		2890	2313	508	102	4	74	592888610	0
10028302	Sorc	4185865	HT+MR	2075	1673	207	12	2	3	594376571	0
10028302	Sorc	4483379	HT+MR	3517	3076	618	132	50	51	594853964	0
10028302	Sorc	1535607	DT	1984	1070	182	35	1	23	592657589	0
10028302	Sorc	4167680	DT+MR	1347	986	122	23	11	18	594378173	0
10028302	Sorc	2545394	MR	1438	615	130	16	7	10	593852542	0
10028302	Sorc	767046		2853	872	106	16	1	5	591233290	0
10028302	Sorc	3616430		595	651	88	17	1	7	595979766	0
10028302	Sorc	2977854	MR	1392	768	56	3	0	1	593847929	0
10028302	Sorc	3328132	MR	2939	1702	195	27	5	7	594096753	0
10028302	Sorc	3805385	MR	2565	1093	144	20	0	8	594393152	0
10028302	Sorc	4010632	HT+MR	3309	2023	256	19	1	10	594392177	0
10028302	Sorc	4374753		1269	664	49	0	0	4	590421155	0
10028302	Sorc	2755520	MR	2199	1006	75	2	1	3	595169460	0
10028302	Sorc	3917445	HT	2932	2309	209	17	7	12	592687993	0
10028302	Sorc	724149	MR	1114	612	80	4	1	2	593975225	0
10028302	Sorc	3959421	HT+MR	3092	1614	198	18	2	15	594377589	0
10028302	Sorc	3684026	HT+MR	4206	2094	189	10	2	6	594395621	0
10028302	Sorc	4423823		2432	1156	82	4	2	1	591714651	0
10028302	Sorc	4417924	DT	598	285	42	12	9	3	591712858	0
10028302	Sorc	5170433		2133	997	86	3	0	7	642968513	0
10028302	Sorc	4389545	HT	1528	973	55	2	1	0	592660884	0
10028302	Sorc	1023071		1080	694	175	27	2	13	593978927	0
10028302	Sorc	4208924	MR	1677	1543	234	32	10	4	595292919	0
10028302	Sorc	1698594		1306	740	114	13	1	12	591715744	0
10028302	Sorc	3413575	MR	1166	631	145	45	5	21	593978013	0
10028302	Sorc	4279821	HT	2483	2213	344	37	10	29	593488689	0
10028302	Sorc	689769		2497	711	40	1	0	2	595489359	0
10028302	Sorc	4133543		1783	909	79	7	4	4	592794019	0
10028302	Sorc	4169817		1361	506	55	7	1	2	589927084	0
10028302	Sorc	3987715	HT	2710	1589	218	12	13	9	592665550	0
10028302	Sorc	3703437		1355	795	70	3	0	3	593976980	0
10028302	Sorc	3183644		1150	555	52	1	0	1	589919487	0
10028302	Sorc	421066	HT	2691	1328	191	39	2	28	589711211	0
10028302	Sorc	2598323	MR	1996	1137	90	8	1	5	593848527	0
10028302	Sorc	4115481		1577	1056	58	0	0	1	590135630	0
10028302	Sorc	4284926	HT+MR	2273	1817	231	29	8	12	594373309	0
10028302	Sorc	1214526		1535	745	172	34	4	18	595983239	0
10028302	Sorc	532796		1056	804	157	16	1	19	593144250	0
10028302	Sorc	4706643	HT	1091	458	105	19	2	8	592899759	0
10028302	Sorc	2149349		1818	645	54	6	0	2	589784256	0
10028302	Sorc	3935369	HT	3076	2692	332	42	10	29	593485788	0
10028302	Sorc	847379		1850	1445	198	29	0	19	590425312	0
10028302	Sorc	3987711	MR	2396	1415	229	18	3	14	593723742	0
10028302	Sorc	4432062	HT+MR	3328	2542	443	58	17	30	594099450	0
10028302	Sorc	1092805	MR	1059	562	101	5	4	10	595168747	0
10028302	Sorc	4533082		2876	924	66	0	0	1	591247146	0
10028302	Sorc	3525702		813	568	55	5	2	1	592881440	0
10028302	Sorc	3992558	MR	1647	956	150	37	4	17	593836320	0
10028302	Sorc	2935411		1049	862	164	11	0	8	595295297	0
10028302	Sorc	1920615	MR	1892	1369	272	44	8	23	593843479	0
10028302	Sorc	4502811	HT	2983	2144	274	23	6	14	595979350	0
10028302	Sorc	4657696		1216	231	35	0	0	3	595767356	0
10028302	Sorc	4060023	MR	1114	590	59	5	1	8	594098459	0
10028302	Sorc	4009456	HT	2925	2108	357	39	9	17	592662590	0
10028302	Sorc	1895641		1861	1036	175	16	3	8	594639250	0
10028302	Sorc	3583899	MR	1265	697	237	60	3	26	593836718	0
10028302	Sorc	4025150	HT	2969	1457	180	27	10	9	592655794	0
10028302	Sorc	1933877		2482	1215	151	16	5	10	591718631	0
10028302	Sorc	4484698		1476	729	103	2	2	6	592168122	0
10028302	Sorc	905576	DT	1823	1087	204	50	5	33	591717337	0
10028302	Sorc	4775999	HT	3041	2724	499	37	5	43	593717528	0
10028302	Sorc	893899		2007	1261	193	31	1	11	590425648	0
10028302	Sorc	4174281		1130	1130	145	10	7	8	595982681	0
10028302	Sorc	3972008	HT	3132	1849	309	56	18	19	590215484	0
10028302	Sorc	3015442	HT+MR	2084	1767	256	27	4	22	593974289	0
10028302	Sorc	1637189		1318	896	160	7	1	2	590304869	0
10028302	Sorc	1243559	HT	1365	713	106	2	0	1	589799976	0
10028302	Sorc	2956638		2008	1120	270	52	4	25	592652047	0
10028302	Sorc	3739990	MR	1357	758	127	16	11	6	593724687	0
10028302	Sorc	747621		2023	744	108	7	0	1	590137823	0
10028302	Sorc	4172533	HT	2317	2076	312	26	15	21	592664066	0
10028302	Sorc	2054608	MR	1533	496	29	2	10	6	595619383	0
10028302	Sorc	3040491		1070	765	108	13	1	5	592883076	0
10028302	Sorc	4605343		2354	1028	100	7	0	0	592512718	0
10028302	Sorc	2545395		1195	562	101	7	0	2	592650757	0
10028302	Sorc	1014641		1150	807	142	18	3	5	595491143	0
10028302	Sorc	4296436		1673	470	15	0	0	5	592167083	0
10028302	Sorc	1293172		2598	1991	522	75	4	31	593452767	0
10028302	Sorc	693320	DT	1728	1157	229	34	5	34	592668924	0
10028302	Sorc	4708016		3450	2156	349	40	6	24	590305749	0
10028302	Sorc	3182272		2143	1064	161	28	7	17	590217213	0
10028302	Sorc	4435571	HT+MR	2357	2081	250	33	4	4	594394135	0
10028302	Sorc	1038662		3333	2143	304	40	5	25	592477085	0
10028302	Sorc	5031845		788	363	40	0	0	5	642968697	0
10028302	Sorc	3004962		11244	5835	714	60	10	29	589531192	0
10028302	Sorc	3702759		2207	786	52	0	0	0	591120027	0
10028302	Sorc	770127	HT	1491	728	191	42	0	9	593718950	0
10028302	Sorc	3621892		1097	572	68	4	0	1	593609659	0
10028302	Sorc	1245015		963	829	174	10	2	18	592883529	0
10028302	Sorc	4420283		1194	570	64	8	3	6	589926879	0
10083439	bojii	5563410		7850	2138	61	9	11	17	657558361	0
10083439	bojii	5107047		12063	4378	273	45	39	102	657566645	0
10083439	bojii	5737040		8405	2798	130	25	14	38	666345420	0
10083439	bojii	3469849		8051	2494	162	39	23	59	635804232	0
10083439	bojii	5574376		6073	2304	149	35	16	44	657559159	0
10083439	bojii	5574387		6573	2224	105	18	13	37	657565668	0
10083439	bojii	5729586		4278	1453	53	12	5	14	666343325	0
10083439	bojii	5611269		5685	2443	83	4	4	18	663690460	0
10083439	bojii	5433961		5384	2132	114	16	10	40	663543410	0
10083439	bojii	5415139		3480	1941	213	50	33	72	666344898	0
10083439	bojii	5517332	DT	2890	1368	104	29	8	42	663540642	0
10083439	bojii	5124135		5963	608	13	17	11	10	657554021	0
10083439	bojii	4487439		11140	4536	359	75	44	126	588701682	0
10083439	bojii	5273531		12038	2858	83	11	2	8	647581857	0
10083439	bojii	5525561		7554	3067	185	21	13	35	663542482	0
10083439	bojii	4097226		6328	2549	213	41	28	91	585420105	0
10083439	bojii	5448390		9602	3873	237	55	36	88	657565045	0
10083439	bojii	4983858		8572	4080	218	38	27	65	663546668	0
10083439	bojii	5516105		8082	2404	52	3	4	15	663545925	0
10083439	bojii	4297374		3594	1320	108	19	31	41	589311323	0
10083439	bojii	3838922		6337	1919	128	28	19	28	657455057	0
10083439	bojii	5538251		7774	1493	26	6	2	8	653468451	0
10083439	bojii	2089432		6399	1769	91	17	10	17	663545340	0
10083439	bojii	5525565		3986	2141	113	14	18	28	664390187	0
10083439	bojii	5525503	DT	2541	2093	285	95	78	108	663536011	0
10083439	bojii	5515664		4626	1589	66	8	2	9	662682088	0
10083439	bojii	4009587	MR	4080	1575	36	1	4	8	565956470	0
10083439	bojii	3886726		5951	2078	116	13	13	29	650533609	0
10083439	bojii	4404683		6826	3443	375	81	51	147	652483870	0
10083439	bojii	5694389		6672	2001	33	1	1	7	666344401	0
10083439	bojii	3797369	DT	2441	697	103	37	4	51	657556126	0
10083439	bojii	4032124		8019	4282	391	85	61	112	590092539	0
10083439	bojii	4974366		6940	2784	171	34	23	48	662682645	0
10083439	bojii	5616379		3645	1323	41	1	0	8	663421986	0
10083439	bojii	1679790	MR	2569	713	62	7	4	14	662214320	0
10083439	bojii	5154675		6754	3403	265	53	24	101	635803142	0
10083439	bojii	1802831	DT	4337	2191	204	43	30	84	566475397	0
10083439	bojii	3479099	DT	3331	1389	148	40	16	76	652388732	0
10083439	bojii	5139638		5973	2433	133	24	20	46	637907926	0
10083439	bojii	2220863	DT+MR	4008	1372	108	12	8	25	566622932	0
10083439	bojii	5812582		2754	1014	151	37	8	36	669239201	0
10083439	bojii	4009375		6977	2748	152	47	17	43	588699852	0
10083439	bojii	4404686		6907	2177	128	16	7	22	650045929	0
10083439	bojii	3844594		7005	1815	41	9	9	9	588699358	0
10083439	bojii	5048955	DT	2881	1922	235	42	32	92	663540950	0
10083439	bojii	4201708		4288	2263	208	47	24	70	588700398	0
10083439	bojii	2261284	DT	1527	788	91	20	6	34	657563255	0
10083439	bojii	4249332	DT	2961	1853	184	42	32	49	650531632	0
10083439	bojii	5677353	DT	2906	1765	204	80	47	118	668623474	0
10083439	bojii	5042671		2934	1703	119	14	8	22	647584164	0
10083439	bojii	3144879	DT	4713	1129	57	3	6	9	566621547	0
10083439	bojii	3982473	DT	4952	616	20	18	0	19	657555910	0
10083439	bojii	5153884	DT	3641	2055	375	124	45	117	650532523	0
10083439	bojii	4973159		6260	1778	67	4	5	9	654725341	0
10083439	bojii	2848186	DT	5016	1133	123	42	16	34	588705489	0
10083439	bojii	4489995	DT	2420	1689	125	41	18	37	650530867	0
10083439	bojii	3950097	DT	4277	2397	327	94	31	162	635806033	0
10083439	bojii	3437094	DT	4134	1355	169	28	14	47	650530005	0
10083439	bojii	5187460	DT	4500	1165	67	8	3	18	655663315	0
10083439	bojii	3497002		7843	2190	71	12	2	13	655662644	0
10083439	bojii	4973158		5053	1369	49	8	8	13	656975189	0
10083439	bojii	4065224		3219	968	36	6	3	9	588698622	0
10083439	bojii	4393933		4547	1493	74	4	6	12	646192978	0
10083439	bojii	5031531	DT	2293	946	161	34	8	62	662209318	0
10083439	bojii	4001513		5849	1389	31	1	0	0	587649975	0
10083439	bojii	3729442	DT	3590	953	30	6	4	6	637796132	0
10083439	bojii	4074807	DT	609	441	43	7	2	9	650530576	0
10083439	bojii	3547073	DT	5593	2501	417	117	37	142	635806626	0
10083439	bojii	4094064		11984	3089	47	2	0	5	626174744	0
10083439	bojii	5153901	DT	3712	1774	154	38	18	41	637906553	0
10083439	bojii	4231313		5303	132	0	5	1	1	656770421	0
10083439	bojii	2365803	DT	4502	1565	137	24	9	39	650529199	0
10083439	bojii	5734109		3296	811	123	31	14	19	666343774	0
10083439	bojii	3858523	DT	1580	840	135	40	13	47	650531449	0
10083439	bojii	3968336		6234	1283	60	8	7	9	654725969	0
10083439	bojii	3953704		5514	2761	206	25	17	35	583998196	0
10083439	bojii	5133848	DT	2088	477	75	24	6	31	647583182	0
10083439	bojii	5526027	HD	3723	330	11	24	9	10	656662968	0
10083439	bojii	5166606	DT	5042	1937	246	44	6	43	6202413677	1
10083439	bojii	3924687		3388	2648	192	30	9	33	587658791	0
10083439	bojii	4205295	DT	650	415	17	4	0	7	566474363	0
10083439	bojii	3187056	DT	5345	2660	341	108	39	109	566624042	0
10083439	bojii	3594454	DT	1597	811	110	42	3	37	555832778	0
10083439	bojii	3918036		5270	1672	57	9	3	8	650155536	0
10083439	bojii	4009399		2648	765	64	7	5	11	669087466	0
10083439	bojii	4722298	DT	3873	1789	75	11	0	9	587647375	0
10083439	bojii	5269878		9515	4379	790	90	42	78	6202476967	1
10083439	bojii	3809992		6961	2427	87	13	7	20	588697710	0
10083439	bojii	5510352	DT	7888	2208	179	13	7	5	6298815634	1
10083439	bojii	3795349	DT	3647	1509	75	7	7	15	637796282	0
10083439	bojii	5493993	DT	5126	3494	536	176	84	234	650532250	0
10083439	bojii	4616615		5455	1048	23	3	4	6	656997019	0
10083439	bojii	5591454	DT	3841	554	40	9	0	19	663422343	0
10083439	bojii	4000342		7905	1950	69	4	6	16	650044857	0
10083439	bojii	5454604	MR	4930	930	93	19	10	34	663690081	0
10083439	bojii	5491436		5510	1367	22	5	1	5	668532425	0
10083439	bojii	3226089	DT	3050	1193	37	2	4	6	637795783	0
10083439	bojii	5256879	DT+MR	2976	1619	220	60	37	88	650531208	0
10083439	bojii	5074941	HT	7100	2117	168	19	13	31	647585544	0
10083439	bojii	2935047	DT	3584	953	52	14	4	13	657557316	0
1033244	jihak0210	5273531		9625	4896	288	44	28	119	647517030	0
1033244	jihak0210	5107047	HT+MR	10181	6245	330	45	25	74	647323781	0
1033244	jihak0210	5538251		6147	2908	193	30	3	28	667123566	0
1033244	jihak0210	3469849		6329	3564	493	127	88	227	644882825	0
1033244	jihak0210	5563410		4913	4083	693	144	46	207	667130061	0
1033244	jihak0210	4009587		3248	2152	212	31	16	45	581156116	0
1033244	jihak0210	4231313	MR	4720	690	18	4	3	7	581698313	0
1033244	jihak0210	4001513		5320	1833	70	11	7	29	581154678	0
1033244	jihak0210	2089432		4825	2924	329	73	35	117	620929490	0
1033244	jihak0210	3838922	MR	5150	2667	325	126	46	145	581668940	0
1033244	jihak0210	4404683	HT	6304	4118	334	47	28	92	644757403	0
1033244	jihak0210	3886726	MR	4882	2713	375	80	22	128	644879643	0
1033244	jihak0210	5574376	HT	5708	2657	192	21	12	31	667127009	0
1033244	jihak0210	5611269		3938	3471	545	107	43	133	667377520	0
1033244	jihak0210	3497002	MR	6690	3033	262	33	18	95	581156764	0
1033244	jihak0210	5737040	HT	8023	3226	121	9	6	25	667127856	0
